,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-07-19,30.0,46.0,7.0,0.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-07-02,28.0,58.0,0.0,14.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-07-02,26.0,50.0,10.0,14.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-06-10,28.0,54.0,6.0,0.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-06-10,31.0,61.0,8.0,0.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-06-03,33.0,48.0,1.0,6.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-31,33.0,54.0,6.0,3.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-31,34.0,53.0,0.0,13.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-31,31.0,55.0,8.0,6.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-16,33.0,45.0,1.0,9.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-22,39.0,49.0,4.0,0.0
0,2016 California President: Trump vs. Clinton,Nonpartisan,CA,2016-05-22,38.0,52.0,0.0,10.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-24,37.0,42.0,4.0,8.0
0,2016 Florida President: Trump vs. Clinton,Pollster,FL,2016-08-22,44.0,43.0,7.0,5.0
0,2016 Florida President: Trump vs. Clinton,Pollster,FL,2016-08-22,44.0,41.0,2.0,4.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-18,38.0,52.0,2.0,0.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-15,39.0,48.0,5.0,0.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-12,40.0,45.0,0.0,0.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-10,39.0,44.0,1.0,7.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-10,36.0,41.0,2.0,9.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-10,44.0,45.0,1.0,3.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-07,45.0,46.0,5.0,0.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-07,43.0,43.0,3.0,0.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-03,42.0,48.0,1.0,9.0
0,2016 Florida President: Trump vs. Clinton,Nonpartisan,FL,2016-08-03,39.0,43.0,1.0,11.0
0,2016 Florida President: Trump vs. Clinton,Pollster,FL,2016-07-10,40.0,45.0,2.0,7.0
0,2016 General Election: Trump vs. Clinton,Sponsor,US,2015-10-01,52.0,48.0,0.0,0.0
0,2016 General Election: Bush vs. Clinton,Sponsor,US,2015-10-01,0.0,48.0,52.0,0.0
0,2016 General Election: Rubio vs. Clinton,Sponsor,US,2015-10-01,0.0,48.0,52.0,0.0
0,2016 General Election: Paul vs. Clinton,Sponsor,US,2015-10-01,0.0,50.0,50.0,0.0
0,2016 General Election: Cruz vs. Clinton,Sponsor,US,2015-10-01,0.0,52.0,48.0,0.0
0,2016 General Election: Carson vs. Clinton,Sponsor,US,2015-10-01,0.0,47.0,53.0,0.0
